[INFO ] 2021-05-10 10:02:25.136 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:02:38.405 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:03:16.913 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:03:40.695 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:04:08.147 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:04:41.506 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:04:58.442 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:05:09.914 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:05:18.367 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:06:59.268 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:07:50.033 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:08:17.451 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:08:21.675 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:08:26.322 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:08:30.130 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:08:31.234 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:08:45.686 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:09:00.839 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:09:15.926 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:09:26.237 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:09:41.905 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 10:09:50.407 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
